ID,Poem Content,Label
0,忆醉三山芳树下，几曾风韵忘怀。黄金颜色五花开，味如卢橘熟。贵似荔枝来。闻道商山余四老，橘中自酿秋醅。试呼名品细推排。重重香腑脏，偏殢圣贤杯。,6
1,天街如水翠尘空。建章宫。月明中。人未归来，玉树起秋风。宝粟万钉花露重，催赐带，过垂虹。夜凉沈水绣帘栊。酒香浓。雾濛濛。钗列吴娃，腰褭带金虫。三十六宫蟾观冷，留不住，佩丁东。,1
2,雅欢幽会，良辰可惜虚抛掷。每追念、狂踪旧迹。长祗恁、愁闷朝夕。凭谁去、花衢觅。细说此中端的。道向我、转觉厌厌，役梦劳魂苦相忆。须知最有，风前月下，心事始终难得。但愿我、虫虫心下，把人看待，长似初相识。况渐逢春色。便是有，举场消息。待这回、好好怜伊，更不轻离拆。,2
3,苏武魂销汉使前，古祠高树两茫然。云边雁断胡天月，陇上羊归塞草烟。回日楼台非甲帐，去时冠剑是丁年。茂陵不见封侯印，空向秋波哭逝川。,5
4,移得绿杨栽后院。学舞宫腰，二月青犹短。不比灞陵多送远，残丝乱絮东西岸。几叶小眉寒不展。莫唱阳关，真个肠先断。分付与春休细看，条条尽是离人怨。,1
5,晴丝牵绪乱。对沧江斜日，花飞人远。垂杨暗吴苑。正旗亭烟冷，河桥风暖。兰情蕙盼。惹相思，春根酒畔。又争知、吟骨萦销，渐把旧衫重剪。凄断。流红千浪，缺月孤楼，总难留燕。歌尘凝扇。待凭信，拌分钿。试挑灯欲写，还依不妨，笺幅偷和泪卷。寄残云剩雨蓬莱，也应梦见。,0
6,去年元夜时，花市灯如昼。月上柳梢头，人约黄昏后。今年元夜时，月与灯依旧。不见去年人，泪湿春衫袖。,0
7,燕昭延郭隗，遂筑黄金台。剧辛方赵至，邹衍复齐来。奈何青云士，弃我如尘埃。珠玉买歌笑，糟糠养贤才。方知黄鹄举，千里独徘徊。,5
8,多情却似总无情，唯觉樽前笑不成。蜡烛有心还惜别，替人垂泪到天明。,1
9,秋在水清山暮蝉，洛阳树色鸣皋烟。送君归去愁不尽，又惜空度凉风天。,1
10,一襟余恨宫魂断，年年翠阴庭树。乍咽凉柯，还移暗叶，重把离愁深诉。西窗过雨。怪瑶佩流空，玉筝调柱。镜暗妆残，为谁娇鬓尚如许。铜仙铅泪似洗，叹携盘去远，难贮零露。病翼惊秋，枯形阅世，消得斜阳几度？馀音更苦。甚独抱清高，顿成凄楚？谩想熏风，柳丝千万缕。,6
11,泜水清且浅，沙砾明可数。漾漾浮轻波，悠悠汇远浦。千山倒空青，乱石兀崖堵。我来恣游泳，浩歌怀往古。逼侧井陉道，卒列不成伍。背水造奇谋，赤帜立赵土。韩信购左车，张耳陋肺腑。何不赦陈馀，与之归汉主？,5
12,埋没钱塘歌吹里，当年却是皇都。赵家轻掷与强胡。江山如许大，不用一钱沽。只有岳王泉下血，至今泛作西湖。可怜故事眼中无。但供侬醉后，囊句付奚奴。,5
13,我来吊古，上危楼、赢得闲愁千斛。虎踞龙蟠何处是，只有兴亡满目。柳外斜阳，水边归鸟，陇上吹乔木。片帆西去，一声谁喷霜竹。却忆安石风流，东山岁晚，泪落哀筝曲。儿辈功名都付与，长日惟消棋局。宝镜难寻，碧云将暮，谁劝杯中绿。江头风怒，朝来波浪翻屋。,5
14,祖席离歌，长亭别宴。香尘已隔犹回面。居人匹马映林嘶，行人去棹依波转。画阁魂消，高楼目断。斜阳只送平波远。无穷无尽是离愁，天涯地角寻思遍。,1
15,钱塘西湖有诗僧清顺，所居藏春坞，门前有二古松，各有凌霄花络其上，顺常昼卧其下。时余为郡，一日屏骑从过之，松风骚然，顺指落花求韵，余为赋此。双龙对起，白甲苍髯烟雨里。疏影微香，下有幽人昼梦长。湖风清软，双鹊飞来争噪晚。翠飐红轻，时下凌霄百尺英。,4
16,妾发初覆额，折花门前剧。郎骑竹马来，绕床弄青梅。同居长干里，两小无嫌猜，十四为君妇，羞颜未尝开。低头向暗壁，千唤不一回。十五始展眉，愿同尘与灰。常存抱柱信，岂上望夫台。十六君远行，瞿塘滟滪堆。五月不可触，猿声天上哀。门前迟行迹，一一生绿苔。苔深不能扫，落叶秋风早。八月胡蝶来，双飞西园草。感此伤妾心，坐愁红颜老。早晚下三巴，预将书报家。相迎不道远，直至长风沙。忆妾深闺里，烟尘不曾识。嫁与长干人，沙头候风色。五月南风兴，思君下巴陵。八月西风起，想君发扬子。去来悲如何，见少离别多。湘潭几日到，妾梦越风波。昨夜狂风度，吹折江头树。淼淼暗无边，行人在何处。好乘浮云骢，佳期兰渚东。鸳鸯绿蒲上，翡翠锦屏中。自怜十五余，颜色桃花红。那作商人妇，愁水复愁风。,0
17,轻拈斑管书心事，细折银笺写恨词。可怜不惯害相思，则被你个肯字儿，迤逗我许多时。鬓云懒理松金凤，胭粉慵施减玉容。伤情经岁绣帏空，心绪冗，闷倚翠屏。慵拈粉线闲金缕，懒酌琼浆冷玉壶。才郎一去信音疏，长叹吁，香脸泪如珠。从来好事天生俭，自古瓜儿苦后甜。奶娘催逼紧拘钳，甚是严，越间阻越情忺。笑将红袖遮银烛，不放才郎夜看书。相偎相抱取欢娱，止不过迭应举，及第待何如。百忙里铰甚鞋儿样，寂寞罗帏冷篆香。向前搂定可憎娘，止不过赶嫁妆，误了又何妨。,0
18,闻名欣识面，异好有同功。我亦惭吾子，人谁恕此公。百年双白鬓，万里一秋风。为说任安在，依然一秃翁。,1
19,平岸小桥千嶂抱。柔蓝一水萦花草。茅屋数间窗窈窕。尘不到。时时自有春风扫。午枕觉来闻语鸟。欹眠似听朝鸡早。忽忆故人今总老。贪梦好。茫然忘了邯郸道。,4
20,云接平冈，山围寒野，路回渐转孤城。衰柳啼鸦，惊风驱雁，动人一片秋声。倦途休驾，淡烟里、微茫见星。尘埃憔悴，生怕黄昏，离思牵萦。华堂旧日逢迎。花艳参差，香雾飘零。弦管当头，偏怜娇凤，夜深簧暖笙清。眼波传意，恨密约、匆匆未成。许多烦恼，只为当时，一饷留情。,2
21,浮香绕曲岸，圆影覆华池。常恐秋风早，飘零君不知。,6
